Actual Predicted
1	4
1	1
17816	9983
391666	392595
210031	211441
1	4
1	1
1	1
1271989	1266384
1244716	1214909
10	23
1	1
1	1
7	7
73047	77683
1739579	1718734
3	3
1337140	1342745
2287271	2301646
1	1
1337088	1342652
716259	719870
2	7
1	4
2	1
134239	152393
910581	915291
1	4
2	4
936223	1025536
188971	200455
7963	93
1739579	1718734
533	387
28889	13807
46583	44589
2	1
180152	187776
1	1
4	4
1	5
52629	53215
1012920	1017385
210031	211441
1	4
32288	17073
1361	197
1	4
1012920	1017385
1381453	1386355
10	10
1381453	1386355
192839	189771
1435439	1493082
84843	84184
1749032	1756032
391666	392595
8	8
2	416
1381453	1386355
84843	84184
1	1
343399	338947
848064	853590
946906	953480
1	1
674692	705283
1	1
1	4
1103278	1121501
64	201
1555597	1557274
116559	151564
1042800	1045936
686095	713289
4	14
177263	169334
84183	84675
36174	41985
2664	416
218546	233980
1739579	1718734
153897	170477
30	628
8	8
438	552
536715	591972
2	416
5216	416
223753	231192
1	4
1	1
4	4
1	5
10810	14745
348788	255783
1	4
24025	1777
153897	170477
867477	815984
1	1
451104	339706
1	4
713828	670920
198519	108513
512825	515167
61664	19895
69478	1688
7	23
4	20
439823	256614
1749032	1756032
1418	51
552777	641437
590994	330430
1107888	1112188
716259	719870
1	4
574556	578324
295628	187126
706674	811914
126230	127455
1	1
3	4
2	10
716210	822907
1337634	1337493
2379271	2431027
1	1
1	1
30	13
806365	808002
1	2
706674	811914
373409	372801
455	110
961555	989528
93095	91874
6752	7160
48897	18717
20911	83122
3	4
8322	7788
303271	134126
669336	793001
1172960	1178120
662065	664898
73047	70345
961555	640323
784488	789685
391666	392595
1	4
8569	816
20911	83122
7	42
517682	516889
533369	534141
1	4
1	1
836701	784553
1	1
1	1
387683	255783
3	16
421546	421146
5	5
30801	32051
2287	414
1	1
1	5
2528312	2528689
84843	84184
1	1
1	5
1	5
2	11
674828	670722
445860	447566
1	1
1042800	1045936
284	235
2340	2491
2	1
119565	117248
126230	127455
2	10
2	10
687267	682225
1042800	1045936
9775	9721
1	1
1	1
274644	322141
445860	447566
1	1
3	4
301247	512385
15	235
1	4
3	706
1	197
1	1
1	1
1	1
327313	384070
2340	2491
3	3
134239	152393
308267	305376
